Cluster,Avg Ranking,Avg Followers,Avg Popularity,Top 3 Genres
0,0.3580956435306889,1.1087012247641623,0.7142917508130018,"['latin pop', 'r&b', 'alternative metal']"
1,-0.45671556674903374,-0.5746406429072705,-0.5683416789310055,"['country', 'pop country', 'alternative metal']"
2,1.1518424041909594,-1.6369164792675404,-0.7311332132995475,"['christmas', 'country', 'east coast hip hop']"
3,-1.163332103983388,1.1452345207236425,1.103891297073014,"['pop', 'art pop', 'alternative metal']"
4,-1.585578571355136,1.8281261298123872,4.798067842906711,"['pop', 'alternative metal', 'art pop']"
5,-1.215035753049316,0.1461893889086269,-0.17520435429038284,"['christmas', 'pop', 'alternative metal']"
6,0.6958449436789523,-0.11937957018144052,-0.4605739728950323,"['country', 'alternative metal', 'celtic']"
7,-0.36881936333695553,0.10825096618147441,-0.20925823149769224,"['alternative metal', 'art pop', 'celtic']"
8,-1.5568543218740647,1.2548344086020828,2.2533816565570572,"['soft pop', 'alternative metal', 'art pop']"
9,-0.22897330300625413,-0.8962139403088487,-0.6331209120951676,"['r&b', 'alternative metal', 'art pop']"
10,-1.135565329485019,1.1424242671882978,0.6800831169555814,"['r&b', 'alternative metal', 'art pop']"
11,1.4419573239497796,0.20942009345388105,-0.2830178770469388,"['classic rock', 'emo', 'emo pop']"
